SID,P_Pref,C_Pref ,Cl_Support,Tr_Support,Cand_Support,Rep_Prim,Dem_Prim,PrimElect,Tr_Dona,Tr_Volu,Cl_Dona,Cl_Volu,Cand_Dona,Cand_Volu,prev_candSupport,Tr_Difi_Dist,Tr_Difi_Over,Cl_Difi_Dist,Cl_Difi_Over,Cand_Difi_Dist,Cand_Difi_Overlap,Dem_Iden,Rep_Iden,Party_Iden,Regi,Reg_Party,Reg_Party_Plan,Dem_Dona,Dem_Volu,Rep_Dona,Rep_Volu,Party_Dona,Party_Volu,prev_partySupport,Rep_Difi_Dist,Rep_Difi_Over,Dem_Difi_Dist,Dem_Difi_Over,Party_Difi_Dist,Party_Difi_Over,DG_Test1,DG_Test2,DG_Test3,DG_Choice,Expl,Tr_Happy,Cl_Happy,EarlyVote,candVote_Choice,ClintonSupporter_Happy,TrumpSupporter_Happy,OtherSupporter_Happy,Gender,Age,Education,Income,USCit,Surveys,SimSurv,Scept,Wave,DG_In
754,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,13,6,13,6,5,,5,Yes,Dem,,No,Yes,,,No,Yes,1,,,26,16,26,16,40,0,20,20,It's fair.,1,4,No,,,,,Female,27,Coll,"$15,001-$25,000",Yes,100,4,4,3,yes
755,Democrat,Clinton,2,,2,,Sanders,Yes,,,No,No,No,No,0,,,9,3,9,3,2,,2,Yes,Dem,,No,No,,,No,No,0,,,30,21,30,21,40,0,20,0,I like money,1,3,No,,,,,Male,35,Coll,"$25,001-$35,000",Yes,1000,1,1,3,yes
756,Democrat,Clinton,7,,7,,Sanders,Yes,,,No,No,No,No,0,,,23,14,23,14,5,,5,Yes,Other,,No,No,,,No,No,0,,,28,18,28,18,40,0,20,0,I already use 100% of my MTurk money to help support a friend financially. They literally need every penny I can give them. ,1,7,No,,,,,Female,56,HS,"$15,001-$25,000",Yes,1000,3,1,3,yes
757,Republican,Trump,,7,7,Trump,,Yes,No,No,,,No,No,0,90,92,,,90,92,,1,1,Yes,Other,,,,No,No,No,No,0,-100,0,,,-100,0,40,0,20,0,"I am poor and nobody wants to hire a 30 year old who was laid off and has no car. I'd rather be have that $0.40 for 2 packs of ramen, 1 days worth of food, than give it to someone else. ",7,1,Yes,,,,,Male,30,Coll,"$15,001-$25,000",Yes,25000,3,3,3,yes
758,Democrat,Clinton,2,,2,,Sanders,Yes,,,No,No,No,No,0,,,-25,0,-25,0,3,,3,Yes,Other,,No,No,,,No,No,0,,,-6,0,-6,0,40,0,20,20,I wanted to be fair,1,3,No,,,,,Male,33,Grad,"$35,001-$50,000",Yes,16000,2,4,3,yes
759,Democrat,Clinton,7,,7,,Clinton,No,,,Yes,No,Yes,No,1,,,96,98,96,98,6,,6,Yes,Dem,,No,No,,,No,No,0,,,76,75,76,75,40,0,20,0,"I'm voting for Hillary, not Bernie.",1,7,Yes,,,,,Male,35,<Coll,"$35,001-$50,000",Yes,3,1,4,3,yes
760,Democrat,Clinton,5,,5,,Sanders,No,,,No,Yes,No,Yes,1,,,45,36,45,36,4,,4,No,,Yes-Dem,No,No,,,No,No,0,,,26,17,26,17,10,30,20,10,I transferred 10 cents because I wanted more of the bonus.,3,5,No,,,,,Male,26,Coll,"$25,001-$35,000",Yes,"6,095",3,5,3,no
761,Democrat,Clinton,3,,3,,Sanders,Yes,,,No,No,No,No,0,,,5,1,5,1,4,,4,Yes,Dem,,No,No,,,No,No,0,,,24,15,24,15,40,0,20,0,I make a living on MTurk,1,3,No,,,,,Female,30,HS,"<$5,000",Yes,970,3,1,3,yes
762,Democrat,Clinton,5,,5,,Clinton,Yes,,,No,No,No,No,0,,,68,65,68,65,5,,5,Yes,Other,,No,No,,,No,No,0,,,36,27,36,27,40,0,20,0,I thought the other person would choose the same also.,1,7,No,,,,,Female,34,Coll,"$35,001-$50,000",Yes,6000,3,2,3,yes
763,Democrat,Clinton,6,,6,,Clinton,Yes,,,No,No,No,No,0,,,75,74,75,74,5,,5,Yes,Other,,No,No,,,No,No,0,,,75,74,75,74,40,0,20,0,I would get the whole bonus for myself,1,6,No,,,,,Female,32,Coll,"$35,001-$50,000",Yes,100,2,5,3,yes
764,Republican,Trump,,3,3,Other,,No,No,No,,,No,No,0,28,18,,,28,18,,3,3,No,,No,,,No,Yes,No,Yes,1,30,20,,,30,20,40,0,20,10,I wanted to be fair while getting a good bonus.,3,1,No,,,,,Other,61,HS,"$10,001-$15,000",Yes,1000,3,5,3,yes
