SID,P_Pref,C_Pref ,Cl_Support,Tr_Support,Cand_Support,Rep_Prim,Dem_Prim,PrimElect,Tr_Dona,Tr_Volu,Cl_Dona,Cl_Volu,Cand_Dona,Cand_Volu,prev_candSupport,Tr_Difi_Dist,Tr_Difi_Over,Cl_Difi_Dist,Cl_Difi_Over,Cand_Difi_Dist,Cand_Difi_Overlap,Dem_Iden,Rep_Iden,Party_Iden,Regi,Reg_Party,Reg_Party_Plan,Dem_Dona,Dem_Volu,Rep_Dona,Rep_Volu,Party_Dona,Party_Volu,prev_partySupport,Rep_Difi_Dist,Rep_Difi_Over,Dem_Difi_Dist,Dem_Difi_Over,Party_Difi_Dist,Party_Difi_Over,DG_Test1,DG_Test2,DG_Test3,DG_Choice,Expl,Tr_Happy,Cl_Happy,EarlyVote,candVote_Choice,ClintonSupporter_Happy,TrumpSupporter_Happy,OtherSupporter_Happy,Gender,Age,Education,Income,USCit,Surveys,SimSurv,Scept,Wave,DG_In
1575,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,-100,0,-100,0,6,,6,Yes,Dem,,Yes,Yes,,,Yes,Yes,2,,,-100,0,-100,0,40,40,40,40,I have no idea. I feel betrayed by the Democratic Party.,,1,Yes,Clinton,1,,1,Male,33,<Coll,"$15,001-$25,000",Yes,1,1,1,6,no
1576,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,17,9,17,9,4,,4,Yes,Dem,,No,No,,,No,No,0,,,52,45,52,45,40,0,20,20,I wanted us both to get maximum bonuses each,,4,Yes,Clinton,1,,1,Male,44,Coll,"$25,001-$35,000",Yes,300,1,3,6,yes
1577,Democrat,Clinton,7,,7,,Clinton,Yes,,,No,No,No,No,0,,,125,100,125,100,7,,7,Yes,Dem,,No,No,,,No,No,0,,,112,100,112,100,40,0,20,20,We all need to support one another today.  It's best to share and show compassion for each other.,,1,Yes,Clinton,1,,1,Male,43,Coll,"$65,001-$80,000",Yes,1394,4,3,6,yes
1578,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,-15,0,-15,0,3,,3,Yes,Dem,,Yes,Yes,,,Yes,Yes,2,,,21,12,21,12,40,0,20,20,Seemed to be most fair.,,4,Yes,Clinton,2,,2,Female,35,Coll,"$35,001-$50,000",Yes,2000,3,4,6,yes
1579,Democrat,Clinton,6,,6,,Sanders,Yes,,,No,No,No,No,0,,,50,43,50,43,7,,7,Yes,Dem,,Yes,No,,,Yes,No,1,,,-50,0,-50,0,40,0,20,20,"I feel we both voted for Clinton, we both deserve to share.",,1,Yes,Clinton,1,,1,Male,34,Coll,">$100,000",Yes,650,3,5,6,yes
1580,Democrat,Clinton,7,,7,,Clinton,No,,,No,No,No,No,0,,,95,97,95,97,5,,5,No,,,No,No,,,No,No,0,,,46,38,46,38,40,0,20,20,"I want to share evening with the other Hillary supporter, who is probably feeling sad right now, like me.",,1,Yes,Clinton,1,,1,Female,39,Coll,"$25,001-$35,000",Yes,100,2,2,6,yes
1581,Democrat,Clinton,7,,7,,Sanders,Yes,,,Yes,No,Yes,No,1,,,125,100,125,100,7,,7,Yes,Dem,,No,No,,,No,No,0,,,125,100,125,100,40,0,20,20,I would have felt guilty if I had not sent the money. I was very tempted to send less sadly.,,1,Yes,Clinton,1,,1,Female,32,<Coll,"$25,001-$35,000",Yes,5000,3,5,6,yes
1582,Republican,Trump,,1,1,Other,,No,No,No,,,No,No,0,30,21,,,30,21,,3,3,Yes,Rep,,,,No,No,No,No,0,63,58,,,63,58,40,0,20,20,"If everyone chose 20 cents, everyone would come away with the same amount. I think it is good to behave in such a way that society would be better off if everyone were to behave in that way. I am not in such dire financial straits that I can't pass on 20 cents.",4,,No,,,6,6,Male,30,Grad,">$100,000",Yes,15,3,5,6,yes
1583,Republican,Trump,,6,6,Trump,,Yes,No,No,,,No,No,0,75,74,,,75,74,,6,6,Yes,Other,,,,No,No,No,No,0,64,60,,,64,60,40,0,20,5,I probably need the money more than they do.,7,,Yes,Trump,,7,7,Female,53,Coll,"<$5,000",Yes,1623,3,4,6,yes
1584,Democrat,Clinton,1,,1,,Sanders,No,,,No,No,No,No,0,,,5,1,5,1,3,,3,Yes,Other,,No,No,,,No,No,0,,,14,7,14,7,40,40,20,20,"To receive in life, you must give value.",,4,No,,2,,2,Female,26,HS,"$35,001-$50,000",Yes,20+,3,3,6,no
1585,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,2,0,2,0,4,,4,Yes,Dem,,No,No,,,No,No,0,,,12,5,12,5,40,0,20,5,"i think the other person deserves something--but since i have control of the decision, i am leaving most of the money for myself",,2,Yes,Clinton,7,,7,Male,63,Coll,"$10,001-$15,000",Yes,13044,3,3,6,yes
1586,Republican,Trump,,6,6,Trump,,No,No,No,,,No,No,0,51,44,,,51,44,,5,5,Yes,Other,,,,No,No,No,No,0,37,28,,,37,28,40,40,20,0,"I do not know the other person, I would like the whole bonus",6,,Yes,Other,,7,7,Male,21,Coll,"$35,001-$50,000",Yes,100,3,1,6,no
1587,Democrat,Trump,,5,5,,Sanders,No,No,No,,,No,No,0,56,50,,,56,50,6,,6,Yes,Dem,,No,No,,,No,No,0,,,76,75,76,75,40,0,40,40,"I have to assume that the other person wants both of us to have a max bonus of 40 cents even though we each wind up with 40 cents total each.  A transfer of 0 cents to the other person implies the I don't trust the other person will give me anything in return.  I really don't see people based on political party affiliation when it comes to maximizing the best outcome for two people.  If I lose all 40 cents due to the other person not giving me anything, then so be it.  The other person has to live with their choice and explain it to their friends which speaks to that person's character.  ",,4,Yes,Trump,,7,7,Male,45,Coll,"$5,000-$10,000",Yes,5,1,5,6,no
1588,Democrat,Clinton,7,,7,,Clinton,Yes,,,No,No,No,No,0,,,88,89,88,89,7,,7,Yes,Dem,,Yes,No,,,Yes,No,1,,,79,79,79,79,40,0,20,20,I figure it was the right thing that we both benefit from the study and bonus money.  Equal shares seemed fair.,,1,Yes,Clinton,1,,1,Female,59,Coll,"$35,001-$50,000",Yes,856,3,5,6,yes
1589,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,81,81,81,81,6,,6,Yes,Dem,,No,No,,,No,No,0,,,76,75,76,75,40,0,20,20,Every American citizen will suffer because of this debacle of an election. I've no motivation to be greedy especially with a fellow Democrat.,,1,Yes,Clinton,1,,1,Female,51,Coll,"$50,001-$65,000",Yes,7000,4,5,6,yes
1590,Democrat,Clinton,5,,5,,Sanders,No,,,No,No,No,No,0,,,65,61,65,61,5,,5,Yes,Dem,,No,No,,,No,No,0,,,70,67,70,67,40,0,20,10,I thought it was fair to share but I didn't feel I needed to give all or even half away.,,1,Yes,Clinton,1,,1,Female,44,<Coll,"$10,001-$15,000",Yes,2000,3,2,6,yes
1591,Democrat,Clinton,3,,3,,Sanders,Yes,,,No,No,No,No,0,,,39,30,39,30,4,,4,Yes,Other,,Yes,No,,,Yes,No,1,,,59,53,59,53,40,0,20,20,Just keeping it equal,,2,Yes,Clinton,1,,1,Male,38,Coll,"$80,001-$100,000",Yes,100,2,1,6,yes
1592,Republican,Trump,,5,5,Trump,,Yes,No,No,,,No,No,0,-2,0,,,-2,0,,3,3,Yes,Rep,,,,No,No,No,No,0,-100,0,,,-100,0,40,40,20,0,Because I want to maximize my profits.,5,,Yes,Trump,,5,5,Male,32,Coll,"$35,001-$50,000",Yes,9,1,3,6,no
1593,Republican,Trump,,5,5,Trump,,Yes,No,No,,,No,No,0,63,58,,,63,58,,5,5,Yes,Rep,,,,No,No,No,No,0,61,56,,,61,56,40,0,20,0,I wanted the most amount of money,6,,Yes,Trump,,6,6,Male,29,Coll,"$50,001-$65,000",Yes,20,1,4,6,yes
1594,Democrat,Clinton,7,,7,,Clinton,Yes,,,No,No,No,No,0,,,37,27,37,27,5,,5,Yes,Dem,,Yes,No,,,Yes,No,1,,,37,27,37,27,40,0,20,20,To be fair I split the amount,,1,Yes,Clinton,1,,1,Female,45,Coll,">$100,000",Yes,100,3,3,6,yes
1595,Democrat,Trump,,2,2,,Sanders,Yes,No,No,,,No,No,0,15,7,,,15,7,2,,2,Yes,Other,,No,No,,,No,No,0,,,17,9,17,9,40,0,20,20,we each had nothing so might as well share equally so we each have something,,5,Yes,Other,,7,7,Female,53,<Coll,"$50,001-$65,000",Yes,400,3,4,6,yes
1596,Republican,Trump,,7,7,Trump,,No,No,No,,,No,No,0,44,35,,,44,35,,5,5,Yes,Rep,,,,No,Yes,No,Yes,1,27,17,,,27,17,40,0,20,0,I wanted the bonus,7,,Yes,Trump,,7,7,Female,32,Coll,"$35,001-$50,000",Yes,500,3,3,6,yes
1597,Republican,Trump,,6,6,Other,,Yes,No,No,,,No,No,0,38,28,,,38,28,,5,5,Yes,Other,,,,No,No,No,No,0,50,42,,,50,42,40,0,20,20,It's nice to share,7,,Yes,Trump,,7,7,Female,29,<Coll,"$35,001-$50,000",Yes,631,4,5,6,yes
1598,Republican,Trump,,3,3,Other,,No,No,No,,,No,No,0,0,0,,,0,0,,3,3,Yes,Rep,,,,No,No,No,No,0,19,10,,,19,10,40,0,20,15,"I wanted to transfer something to them, but I wanted to ensure that I kept the bulk of my cash.",4,,Yes,Trump,,7,7,Female,34,Coll,">$100,000",Yes,10000,3,1,6,yes
1599,Republican,Trump,,6,6,Other,,Yes,No,No,,,No,No,0,60,55,,,60,55,,5,5,Yes,Rep,,,,No,No,No,No,0,65,61,,,65,61,40,0,20,20,Trying to be fair.  Transfer half and keep half.,7,,Yes,Trump,,7,7,Female,40,<Coll,">$100,000",Yes,1000,3,1,6,yes
1600,Republican,Trump,,7,7,Other,,No,No,No,,,No,No,0,75,74,,,75,74,,7,7,Yes,Rep,,,,No,No,No,No,0,39,30,,,39,30,40,0,20,20,I like to be fair and not be selfish.,7,,Yes,Trump,,7,7,Female,29,<Coll,"$25,001-$35,000",Yes,120,4,4,6,yes
1601,Democrat,Clinton,5,,5,,Clinton,Yes,,,No,No,No,No,0,,,35,26,35,26,5,,5,Yes,Dem,,No,No,,,No,No,0,,,48,40,48,40,40,0,20,0,"I usually choose to keep money I have in hand, particularly since I have no control over what the other worker might do.",,3,Yes,Clinton,1,,1,Female,72,Grad,"$35,001-$50,000",Yes,350,3,5,6,yes
1602,Republican,Clinton,3,,3,Other,,No,,,No,No,No,No,0,,,3,1,3,1,,6,6,Yes,Rep,,,,No,No,No,No,0,86,88,,,86,88,40,0,20,15,I do not support democrats but I want to be kind,1,,No,,1,,1,Male,54,HS,"$5,000-$10,000",Yes,9000,3,5,6,yes
1603,Democrat,Clinton,5,,5,,Sanders,No,,,No,No,No,No,0,,,61,56,61,56,5,,5,Yes,Dem,,No,No,,,No,No,0,,,64,60,64,60,40,0,20,0,"I empathize with the other mTurk worker, but I also wanted the $0.40 in the event that the other person is not real.",,1,Yes,Clinton,1,,1,Male,39,Coll,"$50,001-$65,000",Yes,500,4,3,6,yes
1604,Democrat,Clinton,1,,1,,Sanders,Yes,,,No,No,No,No,0,,,3,1,3,1,5,,5,Yes,Dem,,No,No,,,No,No,0,,,71,68,71,68,40,0,40,40,Just trying to be helpful...,,4,Yes,Clinton,3,,3,Female,51,<Coll,"$50,001-$65,000",Yes,100,3,2,6,no
1605,Democrat,Clinton,3,,3,,Sanders,Yes,,,No,No,No,No,0,,,-90,0,-90,0,3,,3,Yes,Other,,Yes,Yes,,,Yes,Yes,2,,,-90,0,-90,0,40,0,20,20,"We each get the same bonus.  I felt that it was fair.  While I wan't a huge Clinton supporter, I don't fault those that were, and acknowledge that they made a better choice than that fucking idiot, Trump.",,1,Yes,Other,1,,1,Male,36,Grad,"$65,001-$80,000",Yes,75,4,4,6,yes
1606,Democrat,Clinton,3,,3,,Sanders,No,,,No,No,No,No,0,,,25,15,25,15,4,,4,No,,,No,No,,,No,No,0,,,53,46,53,46,40,0,20,20,"Whom ever is the other Mturk worker is probably trying to make ends meet, take care of their family.  It's a bonus, it's costing me nothing to share.  Yes, that means that I have $0.20 less than I would have had, but at the end of the day we have to start thinking about each other, not just ourselves.",,3,No,,1,,1,Male,45,<Coll,"$35,001-$50,000",Yes,1000,3,1,6,yes
1607,Democrat,Clinton,7,,7,,Sanders,Yes,,,No,No,No,No,0,,,76,75,76,75,7,,7,Yes,Dem,,No,No,,,No,No,0,,,88,90,88,90,40,0,20,20,I think we deserve the same amount. ,,1,Yes,Clinton,1,,1,Female,28,Coll,"$35,001-$50,000",Yes,4000,3,4,6,yes
1608,Democrat,Clinton,7,,7,,Sanders,Yes,,,No,No,No,No,0,,,66,63,66,63,6,,6,Yes,Dem,,No,No,,,No,No,0,,,80,80,80,80,40,0,20,0,I don't know the other person.,,1,Yes,Clinton,1,,1,Female,31,Coll,"$35,001-$50,000",Yes,500,3,1,6,yes
1609,Democrat,Clinton,7,,7,,Sanders,Yes,,,Yes,No,Yes,No,1,,,125,100,125,100,7,,7,Yes,Dem,,Yes,No,,,Yes,No,1,,,125,100,125,100,40,0,20,20,It gives us both an equal amount of money.,,1,Yes,Clinton,1,,1,Female,34,Coll,"$65,001-$80,000",Yes,200,3,4,6,yes
1610,Democrat,Clinton,1,,1,,Sanders,No,,,No,No,No,No,0,,,-22,0,-22,0,5,,5,No,,,No,No,,,No,No,0,,,46,38,46,38,40,40,20,20,I don't think its fair for me to get all of the bonus while the other person gets nothing. As much as I'd love to have the full amount it wouldn't be right to take it all for myself while leaving someone else with nothing. So I instead choose to make it even. True that means I lose the full bonus but at least that also means the other person gets something too.,,4,No,,1,,1,Female,29,<Coll,"$25,001-$35,000",Yes,300,3,4,6,no
1611,Republican,Trump,,1,1,Other,,No,No,No,,,No,No,0,-10,0,,,-10,0,,2,2,Yes,Other,,,,No,No,No,No,0,-45,0,,,-45,0,40,0,20,0,"I find that when doing these studies it really doesn't benefit you to give away your bonus.",3,,Yes,Trump,,7,7,Female,28,Coll,"$35,001-$50,000",Yes,500,2,2,6,yes
1612,Democrat,Clinton,7,,7,,Sanders,No,,,No,No,No,No,0,,,60,55,60,55,7,,7,Yes,Other,,No,No,,,No,No,0,,,125,100,125,100,40,0,20,20,I donated half because I wanted to be fair to the other worker.,,1,Yes,Clinton,1,,1,Female,51,<Coll,"$15,001-$25,000",Yes,2500,2,4,6,yes
1613,Democrat,Clinton,6,,6,,Sanders,Yes,,,No,No,No,No,0,,,60,55,60,55,7,,7,Yes,Dem,,No,No,,,No,No,0,,,56,50,56,50,40,0,20,20,"I wanted to split the money fairly. In other words, share.",,1,Yes,Clinton,1,,1,Female,62,<Coll,">$100,000",Yes,2000,3,5,6,yes
1614,Democrat,Clinton,1,,1,,Sanders,No,,,No,No,No,No,0,,,5,1,5,1,1,,1,Yes,Other,,No,No,,,No,No,0,,,5,1,5,1,40,0,20,5,"I want to maximize my own profit, but I thought perhaps it was a bit selfish that I took everything and not give anything to the other person. The other person's affiliation with Hilary Clinton did not affect my judgment",,4,Yes,Clinton,1,,1,Male,28,Coll,"$35,001-$50,000",Yes,1500,4,1,6,yes
1615,Republican,Trump,,5,5,Other,,No,No,No,,,No,No,0,34,25,,,34,25,,4,4,Yes,Other,,,,No,Yes,No,Yes,1,48,40,,,48,40,40,0,20,20,"In these transferring tasks, I will almost always transfer an amount that yield an equal bonus for all parties.  I feel that it is generally the right thing to do, and also, I might find myself on the receiving side from this person some day.I would have given the same amount to a Democrat for what it's worth.",5,,Yes,Trump,,6,6,Male,40,Coll,"$65,001-$80,000",Yes,1000,5,5,6,yes
1616,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,0,0,0,0,4,,4,Yes,Dem,,No,No,,,No,No,0,,,1,0,1,0,40,0,20,0,I want the money.,,3,Yes,Clinton,1,,1,Male,26,Grad,"$35,001-$50,000",Yes,120,3,5,6,yes
1617,Democrat,Clinton,6,,6,,Sanders,Yes,,,No,No,No,No,0,,,30,20,30,20,5,,5,Yes,Dem,,No,No,,,No,No,0,,,85,86,85,86,10,10,20,10,"I am a risk taker, and like to take chances on people. I feel like its a solid investment.",,2,Yes,Clinton,1,,1,Male,24,HS,"$25,001-$35,000",Yes,Several,3,1,6,no
1618,Democrat,Trump,,1,1,,Sanders,Yes,No,No,,,No,No,0,-40,0,,,-40,0,3,,3,Yes,Dem,,Yes,Yes,,,Yes,Yes,2,,,14,7,14,7,40,0,20,20,"While Trump isn't who I really wanted, he is still better than Clinton. That's why I will be fair about this. And I hope Trump does a great job.",,7,Yes,Other,,7,7,Male,38,<Coll,"$10,001-$15,000",Yes,4522,3,5,6,yes
1619,Democrat,Clinton,6,,6,,Sanders,Yes,,,No,No,No,No,0,,,44,35,44,35,6,,6,Yes,Dem,,No,No,,,No,No,0,,,31,22,31,22,40,0,20,20, being equal is best,,1,Yes,Clinton,1,,1,Female,53,Coll,"$10,001-$15,000",Yes,100,2,4,6,yes
1620,Republican,Trump,,5,5,Trump,,Yes,No,No,,,No,No,0,68,65,,,68,65,,5,5,Yes,Dem,,,,No,No,No,No,0,20,11,,,20,11,20,20,20,20,"Life isn't fair.  However, we as human beings can be fair to one another.  It's only right to give the other individual half.",6,,Yes,Trump,,7,7,Male,39,<Coll,"$50,001-$65,000",Yes,A couple 100,4,5,6,no
1621,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,Yes,No,Yes,1,,,47,39,47,39,5,,5,Yes,Other,,No,No,,,No,No,0,,,55,48,55,48,40,0,20,0,I am a stay at home mom and Mturk is my only income of my own.,,1,Yes,Clinton,3,,3,Female,29,HS,"$35,001-$50,000",Yes,550,3,4,6,yes
1622,Democrat,Clinton,7,,7,,Clinton,Yes,,,Yes,No,Yes,No,1,,,66,63,66,63,6,,6,Yes,Dem,,Yes,No,,,Yes,No,1,,,53,46,53,46,40,40,20,20,It's the right thing to do. ,,1,Yes,Clinton,1,,1,Female,55,Coll,"<$5,000",Yes,1000,2,2,6,no
1623,Republican,Trump,,4,4,Other,,No,No,No,,,No,No,0,25,16,,,25,16,,5,5,Yes,Rep,,,,No,No,No,No,0,60,55,,,60,55,40,0,20,0,I want the money for myself. ,4,,Yes,Trump,,7,7,Female,35,Coll,"$15,001-$25,000",Yes,200,2,5,6,yes
1624,Republican,Trump,,5,5,Other,,Yes,No,No,,,No,No,0,56,50,,,56,50,,5,5,Yes,Rep,,,,No,No,No,No,0,72,70,,,72,70,40,0,20,20,"I fell transferring half to the other participant was the most fair thing to do since my decision directly affected both of us.  Since they were going to get no bonus, sharing my half seemed like the right thing to do.",5,,Yes,Trump,,6,6,Male,42,<Coll,"$25,001-$35,000",Yes,150,3,4,6,yes
1625,Democrat,Clinton,1,,1,,Sanders,Yes,,,No,Yes,No,Yes,1,,,10,4,10,4,3,,3,Yes,Dem,,No,No,,,No,No,0,,,18,9,18,9,40,0,20,0,i wanted to maximize how much i earned,,4,Yes,Other,1,,1,Male,61,Grad,"$50,001-$65,000",Yes,20000,3,5,6,yes
1626,Democrat,Clinton,7,,7,,Sanders,Yes,,,No,No,No,No,0,,,77,77,77,77,6,,6,Yes,Dem,,No,No,,,No,No,0,,,68,65,68,65,40,0,20,0,I wanted the whole bonus.  I have no ties to the other person.  ,,1,Yes,Clinton,1,,1,Female,33,Coll,"$5,000-$10,000",Yes,1000,3,1,6,yes
1627,Republican,Trump,,6,6,Trump,,Yes,No,Yes,,,No,Yes,1,71,68,,,71,68,,6,6,Yes,Rep,,,,Yes,Yes,Yes,Yes,2,80,80,,,80,80,30,40,20,10,no,6,,Yes,Trump,,6,6,Female,28,Coll,"$80,001-$100,000",Yes,500,5,5,6,no
1628,Democrat,Clinton,3,,3,,Sanders,Yes,,,No,No,No,No,0,,,0,0,0,0,1,,1,Yes,Other,,No,No,,,No,No,0,,,-6,0,-6,0,10,0,10,10,None,,1,No,,1,,1,Female,44,Coll,"$10,001-$15,000",Yes,500,2,2,6,no
1629,Democrat,Clinton,2,,2,,Sanders,Yes,,,No,No,No,No,0,,,40,31,40,31,3,,3,Yes,Dem,,No,No,,,No,No,0,,,45,37,45,37,40,0,20,20,Fairness,,3,Yes,Other,2,,2,Female,50,Coll,"$50,001-$65,000",Yes,500,4,2,6,yes
1630,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,0,0,0,0,4,,4,Yes,Other,,No,No,,,No,No,0,,,0,0,0,0,40,0,20,20,I wanted to make sure both sides got the same amount,,2,Yes,Clinton,2,,2,Male,22,Coll,"<$5,000",Yes,20,3,3,6,yes
1631,Republican,Trump,,2,2,Other,,No,No,No,,,No,No,0,15,7,,,15,7,,5,5,Yes,Rep,,,,No,Yes,No,Yes,1,46,38,,,46,38,40,0,20,10,I want to make 30 cents but then just double the ten cents so I can get to 50 cents. I also feel as a fellow republican that the other person should receive some money,3,,Yes,Trump,,6,6,Male,30,Coll,"$65,001-$80,000",Yes,200,3,1,6,yes
1632,Democrat,Clinton,7,,7,,Clinton,No,,,No,Yes,No,Yes,1,,,74,72,74,72,7,,7,Yes,Dem,,No,No,,,No,No,0,,,78,77,78,77,,,,,,,,,,,,,,,,,,,,,6,no
1633,Democrat,Clinton,5,,5,,Sanders,No,,,No,No,No,No,0,,,43,34,43,34,5,,5,Yes,Dem,,No,No,,,No,No,0,,,64,60,64,60,40,0,20,20,I think they need the money to and I feel like dividing it equally between us is fair.,,2,No,,1,,1,Male,24,<Coll,"$15,001-$25,000",Yes,3000,3,4,6,yes
1634,Republican,Trump,,1,1,Other,,Yes,No,No,,,No,No,0,6,2,,,6,2,,1,1,Yes,Other,,,,No,No,No,No,0,16,8,,,16,8,40,40,20,20,"I would like to think that given the same choice, the other person would choose to share their bonus equally with me. ",4,,Yes,Other,,7,7,Female,28,Coll,"$35,001-$50,000",Yes,50,3,5,6,no
1635,Democrat,Clinton,1,,1,,Sanders,No,,,No,No,No,No,0,,,-29,0,-29,0,3,,3,Yes,Other,,No,No,,,No,No,0,,,12,6,12,6,40,0,20,20,No reason to be greedy might as well spread the wealth and split it 50/50,,4,No,,1,,1,Male,23,Coll,"$15,001-$25,000",Yes,20,1,3,6,yes
1636,Republican,Trump,,7,7,Trump,,Yes,No,No,,,No,No,0,125,100,,,125,100,,5,5,Yes,Rep,,,,No,No,No,No,0,45,37,,,45,37,40,40,20,20,I'm fair so I decided to split it 50/50,7,,Yes,Trump,,7,7,Male,32,HS,"$35,001-$50,000",Yes,520,2,5,6,no
1637,Republican,Clinton,1,,1,Other,,Yes,,,No,No,No,No,0,,,-50,0,-50,0,,5,5,Yes,Rep,,,,No,No,No,No,0,-50,0,,,-50,0,40,40,20,20,"If we both did the same study, then we both deserve the same amount. This is not a situation where onever person accomplishes more and therefore deserves more than the other.",4,,No,,1,,1,Female,31,Grad,"$35,001-$50,000",Yes,About 40,3,2,6,no
1638,Republican,Trump,,6,6,Trump,,No,No,No,,,No,No,0,95,97,,,95,97,,6,6,Yes,Rep,,,,No,No,No,No,0,54,47,,,54,47,40,0,20,30,I followed my intuition.,6,,Yes,Trump,,6,6,Male,33,Coll,"$35,001-$50,000",Yes,11,1,3,6,yes
1639,Democrat,Clinton,5,,5,,Clinton,Yes,,,No,No,No,No,0,,,93,95,93,95,5,,5,Yes,Dem,,No,No,,,No,No,0,,,85,86,85,86,40,0,20,40,it is better to give than to receive,,1,Yes,Clinton,1,,1,Female,39,Grad,"$50,001-$65,000",Yes,30,5,3,6,yes
1640,Democrat,Trump,,1,1,,Sanders,No,No,No,,,No,No,0,1,0,,,1,0,1,,1,Yes,Other,,No,No,,,No,No,0,,,6,2,6,2,40,0,20,20,"I believe in being fair to other people. Since they were not given a choice of how much bonus they receive, it is up to me to help them receive a bonus.",,4,Yes,Other,,7,7,Female,27,<Coll,"<$5,000",Yes,500,3,4,6,yes
1641,Democrat,Clinton,7,,7,,Clinton,Yes,,,No,Yes,No,Yes,1,,,79,79,79,79,6,,6,Yes,Dem,,No,No,,,No,No,0,,,61,56,61,56,40,0,20,15,"I appreciate the other participant's political views, so felt I should share some of the $$. But I don't really have any other context or reason to believe that, for instance, 50/50 share is for some reason equitable.",,1,Yes,Clinton,1,,1,Male,49,Coll,">$100,000",Yes,20?,3,4,6,yes
1642,Democrat,Trump,,7,7,,Sanders,Yes,No,No,,,No,No,0,56,50,,,56,50,6,,6,Yes,Dem,,No,No,,,No,No,0,,,90,92,90,92,40,0,40,40,making mturk great again,,7,Yes,Trump,,7,7,Male,28,Coll,"$25,001-$35,000",Yes,700,4,5,6,no
1643,Democrat,Clinton,6,,6,,Clinton,Yes,,,Yes,No,Yes,No,1,,,32,22,32,22,5,,5,Yes,Dem,,Yes,Yes,,,Yes,Yes,2,,,79,79,79,79,,,,,,,,,,,,,,,,,,,,,6,no
1644,Democrat,Clinton,6,,6,,Clinton,Yes,,,No,No,No,No,0,,,106,100,106,100,7,,7,Yes,Dem,,No,No,,,No,No,0,,,101,100,101,100,40,0,20,20,I wanted to be fair,,1,Yes,Clinton,1,,1,Female,26,Coll,"$35,001-$50,000",Yes,15000,3,2,6,yes
1645,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,26,17,26,17,6,,6,Yes,Dem,,Yes,No,,,Yes,No,1,,,52,45,52,45,40,0,20,20,"Because I believe that all things should be as fair as possible, and that if you have money to share, you should share it with your fellow man, always assuming that he or she is in need. ",,1,Yes,Clinton,1,,1,Female,52,Coll,"$35,001-$50,000",Yes,"2,000",1,4,6,yes
1646,Republican,Clinton,6,,6,Other,,Yes,,,No,No,No,No,0,,,37,27,37,27,,3,3,Yes,Rep,,,,No,No,No,No,0,37,27,,,37,27,40,40,20,20,I like to be fair and this way both of us get the same bonus.,1,,Yes,Clinton,1,,1,Female,51,Coll,"$65,001-$80,000",Yes,100,3,4,6,no
1647,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,23,14,23,14,7,,7,Yes,Dem,,No,Yes,,,No,Yes,1,,,58,53,58,53,40,0,20,0,It was probably a selfish oneŠ—”but it was also the one I expected the other person to make.,,1,Yes,Clinton,1,,1,Female,23,<Coll,"$10,001-$15,000",Yes,Unsure,1,3,6,yes
1648,Republican,Clinton,2,,2,Other,,No,,,No,No,No,No,0,,,25,16,25,16,,1,1,Yes,Other,,,,No,No,No,No,0,23,14,,,23,14,40,0,20,10,"I felt they should get something, but I am in a selfish mood and kept more for myself.",2,,Yes,Clinton,2,,2,Male,43,Grad,"$50,001-$65,000",Yes,1000,4,5,6,yes
1649,Democrat,Clinton,6,,6,,Sanders,Yes,,,No,No,No,No,0,,,7,2,7,2,7,,7,Yes,Dem,,Yes,No,,,Yes,No,1,,,92,94,92,94,40,40,20,0,Because i wanted a higher bonus payed given the chance to choose how much i payed the other person.,,7,Yes,Clinton,1,,1,Female,51,HS,"$15,001-$25,000",Yes,380,1,5,6,no
1650,Democrat,Clinton,1,,1,,Sanders,No,,,No,No,No,No,0,,,-74,0,-74,0,4,,4,Yes,Other,,No,No,,,No,No,0,,,3,1,3,1,40,0,20,20,Because having 50/50 of something is better than having nothing at all. It is better if we can both agree to win then both agree to fail. ,,4,Yes,Other,1,,1,Male,28,Coll,"$25,001-$35,000",Yes,50,1,5,6,yes
1651,Democrat,Clinton,6,,6,,Sanders,No,,,No,No,No,No,0,,,77,76,77,76,5,,5,Yes,Other,,No,No,,,No,No,0,,,52,45,52,45,40,0,20,20,"  Regardless of who they support politically, I wanted to be fair in the distribution of the money.",,1,Yes,Clinton,1,,1,Male,29,Coll,"$25,001-$35,000",Yes,4100,5,1,6,yes
1652,Republican,Trump,,1,1,Other,,Yes,No,No,,,No,No,0,-100,0,,,-100,0,,1,1,Yes,Other,,,,No,No,No,No,0,-100,0,,,-100,0,40,40,20,15,Trump supporter I not fond of trump supporters or the republicans.,1,,Yes,Other,,7,7,Male,28,HS,"$5,000-$10,000",Yes,10,2,3,6,no
